number,description,parent_code,level
0110015.07,Overige mutaties overige immateriële vaste activa,,5
0110020.01,Beginbalans (overname eindsaldo vorig jaar) overige immateriële vaste activa,,5
0110020.02,Afschrijvingen overige immateriële vaste activa,,5
0110020.03,Afschrijving op desinvesteringen overige immateriële vaste activa,,5
0110020.04,Bijzondere waardeverminderingen overige immateriële vaste activa,,5
0110020.05,Terugneming van bijzondere waardeverminderingen overige immateriële vaste activa,,5
0110020.06,Overige mutaties waardeveranderingen overige immateriële vaste activa,,5
0110030.01,Beginbalans (overname eindsaldo vorig jaar) overige immateriële vaste activa,,5
0110030.02,Herwaarderingen overige immateriële vaste activa,,5
0110030.03,Afschrijving herwaarderingen overige immateriële vaste activa,,5
0110030.04,Desinvestering herwaarderingen overige immateriële vaste activa,,5
0201010.01,Beginbalans (overname eindsaldo vorig jaar) terreinen,,5
0201010.04,Verwervingen via fusies en overnames terreinen,,5
0201010.05,Desinvesteringen terreinen,,5
0201010.06,Afstotingen terreinen,,5
0201010.10,Herclassificatie terreinen,,5
0201010.07,Omrekeningsverschillen terreinen,,5
0201010.08,Overboekingen terreinen,,5
0201010.09,Overige mutaties terreinen,,5
0201015.01,Beginbalans (overname eindsaldo vorig jaar) terreinen,,5
0201015.02,Investeringen terreinen,,5
0201015.04,Verwervingen via fusies en overnames terreinen,,5
0201015.05,Desinvesteringen terreinen,,5
0201015.06,Afstotingen terreinen,,5
0201015.07,Omrekeningsverschillen terreinen,,5
0201015.08,Overboekingen terreinen,,5
0201015.09,Overige mutaties terreinen,,5
0201020.01,Beginbalans (overname eindsaldo vorig jaar) terreinen,,5
0201020.02,Afschrijvingen terreinen,,5
0201020.03,Afschrijving op desinvesteringen terreinen,,5
0201020.04,Bijzondere waardeverminderingen terreinen,,5
0201020.05,Terugneming van bijzondere waardeverminderingen terreinen,,5
0201020.06,Herclassificatie afschrijvingen terreinen,,5
0201020.07,Overige mutaties afschrijvingen terreinen,,5
0201030.01,Beginbalans (overname eindsaldo vorig jaar) terreinen,,5
0201030.02,Herwaarderingen terreinen,,5
0201030.03,Afschrijving herwaarderingen terreinen,,5
0201030.04,Desinvestering herwaarderingen terreinen,,5
0201030.05,Herclassificatie herwaarderingen terreinen,,5
0202010.01,Beginbalans (overname eindsaldo vorig jaar) bedrijfsgebouwen,,5
0202010.04,Investeringen bedrijfsgebouwen,,5
0202010.05,Verwervingen via fusies en overnames bedrijfsgebouwen,,5
0202010.06,Desinvesteringen bedrijfsgebouwen,,5
0202010.07,Afstotingen bedrijfsgebouwen,,5
0202010.11,Herclassificatie bedrijfsgebouwen,,5
0202010.08,Omrekeningsverschillen bedrijfsgebouwen,,5
